"series","date.aired","environment","culprit.gender","motive"
"Scooby Doo, Where Are You!",1969-09-13,"Urban","Male","Theft"
"Scooby Doo, Where Are You!",1969-09-20,"Coast","Male","Theft"
"Scooby Doo, Where Are You!",1969-09-27,"Island","Male","Treasure"
"Scooby Doo, Where Are You!",1969-10-04,"Cave","Male","Natural Resource"
"Scooby Doo, Where Are You!",1969-10-11,"Desert","Male","Competition"
"Scooby Doo, Where Are You!",1969-10-18,"Urban","Male","Extortion"
"Scooby Doo, Where Are You!",1969-10-25,"Desert","Male","Competition"
"Scooby Doo, Where Are You!",1969-11-01,"Urban","Female","Safety"
"Scooby Doo, Where Are You!",1969-11-08,"Urban","Male","Counterfeit"
"Scooby Doo, Where Are You!",1969-11-15,"Forest","Male","Competition"
"Scooby Doo, Where Are You!",1969-11-22,"Forest","Male","Treasure"
"Scooby Doo, Where Are You!",1969-11-29,"Urban","Male","Theft"
"Scooby Doo, Where Are You!",1969-12-06,"Swamp","Male","Theft"
"Scooby Doo, Where Are You!",1969-12-06,"Swamp","Male","Theft"
"Scooby Doo, Where Are You!",1969-12-13,"Ocean","Male","Theft"
"Scooby Doo, Where Are You!",1969-12-20,"Rural","Male","Competition"
"Scooby Doo, Where Are You!",1970-01-10,"Island","Male","Inheritance"
"Scooby Doo, Where Are You!",1970-01-10,"Island","Male","Inheritance"
"Scooby Doo, Where Are You!",1970-01-17,"Snow","Male","Theft"
"Scooby Doo, Where Are You!",1970-09-12,"Forest","Male","Theft"
"Scooby Doo, Where Are You!",1970-09-19,"Urban","Male","Smuggling"
"Scooby Doo, Where Are You!",1970-09-26,"Urban","Male","Theft"
"Scooby Doo, Where Are You!",1970-10-03,"Rural","Male","Theft"
"Scooby Doo, Where Are You!",1970-10-10,"Rural","Male","Treasure"
"Scooby Doo, Where Are You!",1970-10-17,"Jungle","Male","Theft"
"Scooby Doo, Where Are You!",1970-10-24,"Rural","Male","Smuggling"
"Scooby Doo, Where Are You!",1970-10-31,"Urban","Male","Theft"
"The New Scooby-Doo Movies",1972-09-09,"Desert","Male","Natural Resource"
"The New Scooby-Doo Movies",1972-09-09,"Desert","Male","Natural Resource"
"The New Scooby-Doo Movies",1972-09-16,"Rural","Female","Counterfeit"
"The New Scooby-Doo Movies",1972-09-23,"Forest","Male","Safety"
"The New Scooby-Doo Movies",1972-09-23,"Forest","Female","Safety"
"The New Scooby-Doo Movies",1972-09-30,"Rural","Male","Treasure"
"The New Scooby-Doo Movies",1972-10-07,"Forest","Male","Inheritance"
"The New Scooby-Doo Movies",1972-10-07,"Forest","Male","Inheritance"
